perf_id,position,label,subject_type,notes
1143466,2,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1481305,0,seasonal,none,"Church calendar service, festival, or liturgical feast"
1897375,0,birthday,person,Birthday milestone or celebration
1149366,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1549768,0,memorial,person,Memorial tribute or muffled ringing
1501394,0,birthday,person,Birthday milestone or celebration
1129317,0,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1284421,4,none,none,"Technical detail, place notation, simulator flag, failed attempt, or URL"
1123105,0,birthday,person,Birthday milestone or celebration
1110579,1,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1482094,0,multiple,person,Performance milestone combined with Church service/anniversary
1895496,0,civic,person,"Royal, national, civic, or military commemoration"
1338419,0,memorial,person,Memorial tribute or muffled ringing
1437243,0,memorial,person,Memorial tribute or muffled ringing
1546375,0,funeral,person,"Funeral, committal or thanksgiving for life service"
1715460,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1896500,0,birthday,person,Birthday milestone or celebration
1607294,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1811377,0,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
1720239,1,first-performance,person,"Ringer milestone (first peal/quarter, first in method/stage, circle, etc.)"
