building,town,county,occurrences,dove_tower_id,confidence,alternatives,reasoning
Cathedral Church of St Saviour,Goulburn,New South Wales,7,15655,high,,Unique tower in Goulburn; dedication 'Cath Ch of S Saviour' matches 'Cathedral Church of St Saviour'
Christ's Church,Mandurah,Western Australia,7,10751,high,,Unique tower in Mandurah; dedication 'Christ's Church' matches 'Christ's Church'
The Lair of the Snow Tiger,Ringing Room,,7,,none,,Virtual ringing platform or dispersed locations
St Nicholas,Arundel,West Sussex,7,16691,high,10180,Resolved dedication 'S Nicholas' (Arundel) among 2 towers in town
St Nicholas,Abbots Bromley,Staffordshire,7,14443,high,25192,Resolved dedication 'S Nicholas' (Abbots Bromley) among 2 towers in town
St Andrew,Billingborough,Lincolnshire,7,16911,high,,Unique tower in Billingborough; dedication 'S Andrew' matches 'St Andrew'
"Jubilee, New Farm Rd",New Alresford,Hampshire,7,,none,,Private residence name (handbell ring)
37 Northbrook,Micheldever,Hampshire,7,,none,,Private residence address (handbell ring)
,Crayford,,7,12837,high,,Unique tower in Crayford (Greater London); building unspecified in source
St Mary the Virgin,Bowdon,Greater Manchester,7,14100,high,,Unique tower in Bowdon; dedication 'S Mary V' matches 'St Mary the Virgin'
50 Needham Drive,Cranage,Cheshire,7,,none,,Private residence address (handbell ring)
,Accrington,,7,10851,medium,17811;17574;22961;17813,Partial dedication match for 'S James' among 5 towers in town
St James,Mangotsfield,Gloucestershire,7,16932,high,,Unique tower in Mangotsfield; dedication 'S James' matches 'St James'
All Saints,Allesley,West Midlands,7,13782,high,,Unique tower in Allesley; dedication 'All Saints' matches 'All Saints'
,Hughenden,,7,15656,high,,Unique tower in Hughenden (Buckinghamshire); building unspecified in source
,Penistone,,7,16134,high,,Unique tower in Penistone (South Yorkshire); building unspecified in source
St John the Baptist,Brinklow,Warwickshire,7,16910,high,,Unique tower in Brinklow; dedication 'S John Bapt' matches 'St John the Baptist'
All Saints,Basingstoke,Hampshire,7,10112,high,16758;25675,Resolved dedication 'All Saints' (Basingstoke) among 3 towers in town
St Mary,Handsworth,South Yorkshire,7,10845,high,,Unique tower in Handsworth; dedication 'S Mary' matches 'St Mary'
St Lawrence,York,,7,16125,high,11340;13714;16004;11426;15985;13479;12165;10509;11836;10444,Resolved dedication 'S Lawrence' (York) among 24 towers in town
,Thornhill,,7,15558,medium,25688,Partial dedication match for 'S Michael & All Angels' among 2 towers in town
,Wath-on-Dearne,,7,13601,high,,Unique tower in Wath upon Dearne (South Yorkshire); building unspecified in source
,Bolsover,,7,14841,high,,Unique tower in Bolsover (Derbyshire); building unspecified in source
Christ Church,Pendlebury,Greater Manchester,7,,none,22706;22707,Unresolved: 'Christ Church' did not match any of the 2 towers in Pendlebury
Imperial College (Huxley Building),Knightsbridge,Middx,7,,none,10305;21260,Unresolved: 'Imperial College (Huxley Building)' did not match any of the 2 towers in Knightsbridge
,Petworth,,7,14727,high,,Unique tower in Petworth (West Sussex); building unspecified in source
,Whitley Bay,,7,17001,high,,Unique tower in Whitley Bay (Tyne and Wear); building unspecified in source
,Rusper,,7,16522,high,,Unique tower in Rusper (West Sussex); building unspecified in source
,Tuxford,,7,14811,high,,Unique tower in Tuxford (Nottinghamshire); building unspecified in source
,Dronfield,,7,16535,high,,Unique tower in Dronfield (Derbyshire); building unspecified in source
,Claybrooke,,7,11714,high,,Unique tower in Claybrooke (Leicestershire); building unspecified in source
St Wilfrid of York,West Hallam,Derbyshire,7,13398,high,,Unique tower in West Hallam; dedication 'S Wilfrid of York' matches 'St Wilfrid of York'
,Higham Ferrers,,7,13375,high,,Unique tower in Higham Ferrers (Northamptonshire); building unspecified in source
Brambles,Brimpton,Berkshire,7,11416,medium,,"Sole ringing tower in Brimpton, but dedication 'S Peter' differs from source 'Brambles'"
,Benington,Herts,7,13604,high,,Unique tower in Benington (Hertfordshire); building unspecified in source
,Finedon,,7,12514,high,,Unique tower in Finedon (Northamptonshire); building unspecified in source
All Saints,High Wycombe,Buckinghamshire,7,13160,high,25785,Resolved dedication 'All Saints' (High Wycombe) among 2 towers in town
,Swillington,,7,15572,high,,Unique tower in Swillington (West Yorkshire); building unspecified in source
,Sproxton,,7,11573,medium,23606,Partial dedication match for 'S Bartholomew' among 2 towers in town
"73, Braithwaite Gardens",Stanmore,Middlesex,7,,none,,Private residence name (handbell ring)
St Peter,Drayton,Oxfordshire,7,13691,high,14475,Resolved dedication 'S Peter' (Drayton) among 2 towers in town
St Nicholas,Lockington,Leicestershire,7,14614,high,,Unique tower in Lockington; dedication 'S Nicholas' matches 'St Nicholas'
St John the Evangelist,"Sheffield, Ranmoor",South Yorkshire,7,16286,high,,"Resolved via suburb/parish 'Ranmoor' in town name (Ranmoor, S John Ev)"
"St Dunstan-in-the-West, Fleet Street",City of London,,7,11914,high,15228;11081;13868;12429;13028;16634;16578;10471;16020;13189,Resolved dedication 'S Dunstan-in-the-West' (London) among 42 towers in town
St Laurence,Reading,,7,10597,high,16811;16674;22958;22959;22960;17427;25652;25109;22962;22963,Resolved dedication 'S Laurence' (Reading) among 13 towers in town
St Michael,Ashton-under-Lyne,,7,10838,high,15994;17995;17996;17997;17998,Resolved dedication 'S Michael & All Angels' (Ashton under Lyne) among 6 towers in town
Minster of All Saints,Rotherham,South Yorkshire,7,11336,high,15197,Resolved dedication 'Minster Ch of All Saints' (Rotherham) among 2 towers in town
St Mary de Castro,Leicester,Collegiate Church of,7,,none,,No matching tower found for 'Leicester' in Dove register
St John the Baptist,Hillingdon,Middlesex,7,15193,high,20897,Resolved dedication 'S John Bapt' (Hillingdon) among 2 towers in town
All Saints,Worcester,,7,11249,high,11299;13277;10704;12050;12921;12643;24996;24997;24998;24999,Resolved dedication 'All Saints' (Worcester) among 14 towers in town
Cathedral,Guildford,Surrey,7,14593,high,14592;11502;12695;25706;20505;25586,Resolved dedication 'Cath Ch of Holy Spirit' (Guildford) among 7 towers in town
,Escrick,,7,11686,high,,Unique tower in Escrick (North Yorkshire); building unspecified in source
,Fowlmere,Cambs,7,11382,high,,Unique tower in Fowlmere (Cambridgeshire); building unspecified in source
The Vicarage,Melbourne,Derbyshire,7,,none,,Private residence name (handbell ring)
,Vergers Lodge Alcester,Warwickshire,6,,none,,No matching tower found for 'Vergers Lodge Alcester' in Dove register
St Margaret,Addington,Kent,6,16347,high,,Unique tower in Addington; dedication 'S Margaret' matches 'St Margaret'
23 Albany Road,St Leonards on Sea,East Sussex,6,,none,,Private residence address (handbell ring)
St Laurence,Wyck Rissington,Gloucestershire,6,14446,high,,Unique tower in Wyck Rissington; dedication 'S Laurence' matches 'St Laurence'
13 Church Meadow,Lilleshall,Shropshire,6,,none,,Private residence address (handbell ring)
St Mary,Swinstead,Lincolnshire,6,13256,high,,Unique tower in Swinstead; dedication 'S Mary' matches 'St Mary'
"Mayscroft, Mayswood Road",Wootton Wawen,Warwickshire,6,,none,,Private residence name (handbell ring)
,Cynwyl Elfed,Carmarthenshire,6,,none,,No matching tower found for 'Cynwyl Elfed' in Dove register
,Ringing Room,UK (London and Manchester),6,,none,,Virtual ringing platform or dispersed locations
,Anstey,Leics,6,13745,high,,Unique tower in Anstey (Leicestershire); building unspecified in source
All Saints,Staplehurst,Kent,6,13740,high,,Unique tower in Staplehurst; dedication 'All Saints' matches 'All Saints'
St Mary Magdalene,Cottingham,Northamptonshire,6,17007,high,,Unique tower in Cottingham; dedication 'S Mary Magd' matches 'St Mary Magdalene'
St George,Evenley,Northamptonshire,6,16662,high,,Unique tower in Evenley; dedication 'S George' matches 'St George'
St Mary,Aldeby,Norfolk,6,15301,high,,Unique tower in Aldeby; dedication 'S Mary' matches 'St Mary'
St Mary the Virgin,Hambleden,Buckinghamshire,6,12602,high,,Unique tower in Hambleden; dedication 'S Mary V' matches 'St Mary the Virgin'
All Saints,Braywood,Berkshire,6,,none,,No matching tower found for 'Braywood' in Dove register
St Mary the Virgin,Shenfield,Essex,6,13454,high,,Unique tower in Shenfield; dedication 'S Mary V' matches 'St Mary the Virgin'
St Edmund King and Martyr,Stoulton,Worcestershire,6,16881,high,,Unique tower in Stoulton; dedication 'S Edmund K&M' matches 'St Edmund King and Martyr'
,Ringing Room,Lincolnshire,6,,none,,Virtual ringing platform or dispersed locations
St Margaret,Corse,Gloucestershire,6,13280,high,,Unique tower in Corse; dedication 'S Margaret' matches 'St Margaret'
Holy Angels,Hoar Cross,Staffordshire,6,15683,high,,Unique tower in Hoar Cross; dedication 'Holy Angels' matches 'Holy Angels'
Holy Innocents,Great Barton,Suffolk,6,10780,high,,Unique tower in Great Barton; dedication 'Holy Innocents' matches 'Holy Innocents'
,Bournemouth,Hants,6,,none,,No matching tower found for 'Bournemouth' in Dove register
St Peter and St Paul,Langham,Rutland,6,11213,high,,Unique tower in Langham; dedication 'S Peter & S Paul' matches 'St Peter and St Paul'
,Hough on the Hill,Lincs,6,15849,high,,Unique tower in Hough on the Hill (Lincolnshire); building unspecified in source
St Peter,Brampford Speke,Devon,6,16477,high,,Unique tower in Brampford Speke; dedication 'S Peter' matches 'St Peter'
St Mary,Gayton,Northamptonshire,6,13295,high,,Unique tower in Gayton; dedication 'S Mary' matches 'St Mary'
Erica Magnis Campanis,Leonard Stanley,Gloucestershire,6,11889,medium,,"Sole ringing tower in Leonard Stanley, but dedication 'S Swithun' differs from source 'Erica Magnis Campanis'"
St Michael and All Angels,Lyonshall,Herefordshire,6,15533,high,,Unique tower in Lyonshall; dedication 'S Michael & All Angels' matches 'St Michael and All Angels'
St Peter and St Paul,Eye,Herefordshire,6,15447,high,,Unique tower in Eye; dedication 'S Peter & S Paul' matches 'St Peter and St Paul'
St David's Cathedral,Hobart,Tasmania,6,11547,high,16075,Resolved dedication 'Cath Ch of S David' (Hobart) among 2 towers in town
St George's Cathedral,Perth,Western Australia,6,12085,high,16028;11687;12726,Resolved dedication 'Cath Ch of S George' (Perth) among 4 towers in town
"Oldham, Vernet-les-Bains & Great Hockham",Ringing Room,UK & France,6,,none,,Virtual ringing platform or dispersed locations
St Brandon,Brancepeth,Durham,6,14288,high,,Unique tower in Brancepeth; dedication 'S Brandon' matches 'St Brandon'
,Swardeston,Norfolk,6,17529,high,,Unique tower in Swardeston (Norfolk); building unspecified in source
,Ringing Room,Heighington,6,,none,,Virtual ringing platform or dispersed locations
St Bartholomew,Norton in the Moors,Staffordshire,6,11221,high,,Unique tower in Norton in the Moors; dedication 'S Bartholomew' matches 'St Bartholomew'
"Oldham, Vancouver (WA), South Walsham",Ringing Room,UK & USA,6,,none,,Virtual ringing platform or dispersed locations
St Leonard,Flamstead,Hertfordshire,6,15249,high,,Unique tower in Flamstead; dedication 'S Leonard' matches 'St Leonard'
Immanuel,Oswaldtwistle,Lancashire,6,15566,high,22599,Resolved dedication 'Immanuel' (Oswaldtwistle) among 2 towers in town
All Saints,Harston,Cambridgeshire,6,11244,high,,Unique tower in Harston; dedication 'All Saints' matches 'All Saints'
St Bartholomew,Ashleworth,Gloucestershire,6,12427,high,,Unique tower in Ashleworth; dedication 'S Bartholomew' matches 'St Bartholomew'
St Mary the Virgin,Studham,Bedfordshire,6,15440,high,,Unique tower in Studham; dedication 'S Mary V' matches 'St Mary the Virgin'
All Saints,Nocton,Lincolnshire,6,11509,high,,Unique tower in Nocton; dedication 'All Saints' matches 'All Saints'
St Michael and All Angels,Aston Clinton,Buckinghamshire,6,17117,high,,Unique tower in Aston Clinton; dedication 'S Michael & All Angels' matches 'St Michael and All Angels'
St James the Less,Pangbourne,Berkshire,6,16866,high,,Unique tower in Pangbourne; dedication 'S James Less' matches 'St James the Less'
St Petrock,Exeter,Devon,6,16959,high,13963;14687;16135;15779;14227;20007;20008;25133;20009;20016,Resolved dedication 'S Petrock' (Exeter) among 16 towers in town
All Saints,Hamerton,Cambridgeshire,6,10697,high,,Unique tower in Hamerton; dedication 'All Saints' matches 'All Saints'
St Cecilia,Little Hadham,Hertfordshire,6,16089,high,,Unique tower in Little Hadham; dedication 'S Cecilia' matches 'St Cecilia'
All Saints,Coddington,Nottinghamshire,6,11794,high,,Unique tower in Coddington; dedication 'All Saints' matches 'All Saints'
Onze-Lieve-Vrouwekerk (Grote Kerk),Dordrecht,Netherlands,6,17691,high,14275,Resolved dedication 'Onze-Lieve-Vrouwekerk (Grote Kerk)' (Dordrecht) among 2 towers in town
St Mary the Virgin,Ilkeston,Derbyshire,6,11401,high,21160,Resolved dedication 'S Mary V' (Ilkeston) among 2 towers in town
Abbey Church of St Mary the Virgin,Tewkesbury,Gloucestershire,6,15657,high,25268;24023,Resolved dedication 'Abbey Ch of S Mary V' (Tewkesbury) among 3 towers in town
,Chesterfield,Derbys,6,13811,medium,19120;19121,Partial dedication match for 'S Mary & All Saints' among 3 towers in town
St Wilfrid,Grappenhall,Cheshire,6,15508,high,,Unique tower in Grappenhall; dedication 'S Wilfrid' matches 'St Wilfrid'
,Measham,,6,25228,medium,15760,Partial dedication match for 'Garage Ring' among 2 towers in town
,Stansted Mountfitchet,,6,13823,medium,23726,Partial dedication match for 'S Mary V' among 2 towers in town
Abbey Church of St Mary and St Ethelflaeda,Romsey,Hampshire,6,13589,high,,Unique tower in Romsey; dedication 'Abbey Ch of S Mary & S Ethelflaeda' matches 'Abbey Church of St Mary and St Ethelflaeda'
,Aldermaston,,6,10431,high,,Unique tower in Aldermaston (Berkshire); building unspecified in source
St Mary,Bucklebury,Berkshire,6,11027,high,,Unique tower in Bucklebury; dedication 'S Mary' matches 'St Mary'
St James,Kingston,Dorset,6,14840,high,,Unique tower in Kingston; dedication 'S James' matches 'St James'
Cathedral Church of St Andrew,Wells,Somerset,6,13876,high,17150;24518,Resolved dedication 'Cath Ch of S Andrew' (Wells) among 3 towers in town
St Mary the Virgin,Pulford,Cheshire,6,11189,high,,Unique tower in Pulford; dedication 'S Mary V' matches 'St Mary the Virgin'
St Mary the Virgin,Saxlingham Nethergate,Norfolk,6,15580,high,,Unique tower in Saxlingham Nethergate; dedication 'S Mary V' matches 'St Mary the Virgin'
Cathedral of SS Peter & Paul,Sheffield,South Yorkshire,6,13787,medium,10439;23300;22121,Partial dedication match for 'Cath Ch of S Peter & S Paul' among 4 towers in town
St John the Baptist,Newcastle upon Tyne,Tyne & Wear,6,,none,,No matching tower found for 'Newcastle upon Tyne' in Dove register
New College,Oxford,Oxfordshire,6,13271,high,14542;10172;11850;12299;11203;16203;13903;10326;10578;14239,Resolved dedication 'New College' (Oxford) among 26 towers in town
Royal Masonic Junior School,Bushey,Herts,6,,none,13627;18871,Unresolved: 'Royal Masonic Junior School' did not match any of the 2 towers in Bushey
,Putney,,6,12162,medium,22893;22894,Partial dedication match for 'S Mary' among 3 towers in town
Abbey Church of St Peter and St Paul,Dorchester,Oxfordshire,6,10217,high,,Unique tower in Dorchester; dedication 'Abbey Ch of S Peter & S Paul' matches 'Abbey Church of St Peter and St Paul'
"297 Main Street, Tawa",Wellington,New Zealand,6,,none,,Private residence address (handbell ring)
Minster Church of St Mary,Cheltenham,Gloucestershire,6,15388,high,15204;15682;12704;25201;19100;19101;19102;19103;25110;19104,Resolved dedication 'S Mary' (Charlton Kings) among 15 towers in town
St Philip,Sydney,,6,11518,high,16969;15468;13849;14777;13677;10621;12983;13900;11755;16839,Resolved dedication 'S Philip' (Sydney) among 20 towers in town
SS Mary the Virgin and Edward K and M,Barrow Gurney,Somerset,6,13023,high,,Unique tower in Barrow Gurney; dedication 'Blessed Virgin Mary & S Edward K&M' matches 'SS Mary the Virgin and Edward K and M'
,Cambridge,,6,12645,medium,15139;16664;14964;17550;13803;13748;10395;18933;18934;25479,Partial dedication match for 'Our Lady & Eng Martyrs' among 28 towers in town
,Sutterton,,6,14739,high,,Unique tower in Sutterton (Lincolnshire); building unspecified in source
Bellfoundry Tower,Loughborough,Leics.,6,10191,high,16752;21820;21821;21822;17781,Resolved dedication 'Bell Foundry Tower' (Loughborough) among 6 towers in town
,Thorne,,6,10104,high,,Unique tower in Thorne (South Yorkshire); building unspecified in source
,North Stoneham,,6,10082,high,,Unique tower in North Stoneham (Hampshire); building unspecified in source
St Andrew's Parish Centre,Pershore,Worcestershire,6,11394,high,14267,Resolved dedication 'S Andrew's Centre' (Pershore) among 2 towers in town
St Wilfrid,Standish,Greater Manchester,6,14666,high,,Unique tower in Standish; dedication 'S Wilfrid' matches 'St Wilfrid'
"Great Hockham, Reach & Norwich",Ringing Room,,6,,none,,Virtual ringing platform or dispersed locations
St James the Great,"Sheffield, Norton",South Yorkshire,6,10874,high,,"Resolved via suburb/parish 'Norton' in town name (Norton, S James Gt)"
,Buxted,,6,15622,medium,18883,Partial dedication match for 'S Margaret Q' among 2 towers in town
St Mary,Usk,Monmouthshire,6,11790,high,,Unique tower in Usk; dedication 'S Mary' matches 'St Mary'
"Norwich, Gt Hockham & Reach",Ringing Room,,6,,none,,Virtual ringing platform or dispersed locations
St Leonard,Broad Blunsdon,Wiltshire,6,12338,high,,Unique tower in Broad Blunsdon; dedication 'S Leonard' matches 'St Leonard'
,Weston-super-Mare,,6,12821,medium,24672;24673;24674;24675;24676;12495,Partial dedication match for 'S John Bapt' among 7 towers in town
St Mary and St Laurence,Bolsover,Derbyshire,6,14841,high,,Unique tower in Bolsover; dedication 'S Mary & S Laurence' matches 'St Mary and St Laurence'
,Middleham,,6,11313,high,,Unique tower in Middleham (North Yorkshire); building unspecified in source
Minster Church of St George,Doncaster,South Yorkshire,6,12184,high,19661;19662,Resolved dedication 'Minster Ch of S George' (Doncaster) among 3 towers in town
St Peter,Conisbrough,South Yorkshire,6,12310,high,,Unique tower in Conisbrough; dedication 'S Peter' matches 'St Peter'
,Heanor,,6,15653,high,,Unique tower in Heanor (Derbyshire); building unspecified in source
,Chiddingstone,,6,11135,high,,Unique tower in Chiddingstone (Kent); building unspecified in source
St Margaret,Leicester,,6,10495,high,12250;13828;21538;21539;21540;21541;21542;21544;21545;21546,Resolved dedication 'S Margaret' (Leicester) among 15 towers in town
St Mary-le-Tower,Ipswich,,6,11217,high,13614;13091;13121;10964;13732;12441;10057;16122;17735;21183,Resolved dedication 'Minster Ch of S Mary le Tower' (Ipswich) among 20 towers in town
51 Castle Shannon Boulevard,Pittsburgh,Pennsylvania,6,,none,,Private residence address (handbell ring)
St John the Baptist,Chilcompton,Somerset,6,12701,high,,Unique tower in Chilcompton; dedication 'S John Bapt' matches 'St John the Baptist'
Cathedral and Abbey Church of St Alban,St Albans,Hertfordshire,6,15782,high,14427;11034;10871;23608;23609;23610;21987,Resolved dedication 'Cath & Abbey Ch of S Alban' (St Albans) among 8 towers in town
St Mark,Worsley,Lancashire,6,10612,high,,Unique tower in Worsley; dedication 'S Mark' matches 'St Mark'
St Helena,Lundy Island,Bristol Channel,6,,none,,No matching tower found for 'Lundy Island' in Dove register
All Saints,Inveraray,Argyll and Bute,6,15398,high,,Unique tower in Inveraray; dedication 'All Saints' matches 'All Saints'
All Saints,Chilvers Coton,Warwickshire,6,13950,high,,Unique tower in Nuneaton; dedication 'All Saints' matches 'All Saints'
Christ Church,Bristol,Bristol,6,15455,high,10300;10331;14342;11615;14422;12166;15180;12993;12039;16354,Resolved dedication 'Christ Church' (Bristol) among 17 towers in town
The Most Holy and Undivided Trinity,Kingston upon Hull,East Riding of Yorkshire,6,10627,medium,15457;14938;25355;21095;21096;21336;22430;21337,Partial dedication match for 'Minster Ch of the Most Holy & Undivided Trinity' among 9 towers in town
St Michael,Melbourne,Derbyshire,6,10249,high,,Unique tower in Melbourne; dedication 'S Michael' matches 'St Michael'
Holy Trinity,Rothwell,Nthts,6,,none,,No matching tower found for 'Rothwell' in Dove register
St Alphege,Solihull,West Midlands,6,11354,high,,Unique tower in Solihull; dedication 'S Alphege' matches 'St Alphege'
Cathedral of St Philip,Birmingham,,6,15513,high,16786;13032;14891;12955;25526;25540;25808,Resolved dedication 'Cath Ch of S Philip' (Birmingham) among 8 towers in town
St Matthew,Walsall,West Midlands,6,15867,high,24394;24395,Resolved dedication 'S Matthew' (Walsall) among 3 towers in town
,Cambridge,Cambs,6,12645,medium,15139;16664;14964;17550;13803;13748;18933;18934;25479;18935,Partial dedication match for 'Our Lady & Eng Martyrs' among 27 towers in town
Minster Church of St James,Grimsby,Lincolnshire,5,13717,high,17792;20481;20482;20483;20484,Resolved dedication 'Minster Ch of S James' (Grimsby) among 6 towers in town
St Peter,Lodsworth,West Sussex,5,10755,high,,Unique tower in Lodsworth; dedication 'S Peter' matches 'St Peter'
St Lawrence,York,North Yorkshire,5,16125,high,11340;13714;16004;11426;15985;13479;12165;10509;11836;17575,Resolved dedication 'S Lawrence' (York) among 23 towers in town
St Mary,Breamore,Hampshire,5,10295,high,,Unique tower in Breamore; dedication 'S Mary' matches 'St Mary'
Westminster Road,"Birmingham, Selly Park",West Midlands,5,,none,,Private residence name (handbell ring)
All Saints,Nottingham,Nottinghamshire,5,16412,high,10637;16058;25524;22500;22501;22502;22503,Resolved dedication 'All Saints' (Nottingham) among 8 towers in town
Holy Trinity,Rayleigh,Essex,5,12322,high,,Unique tower in Rayleigh; dedication 'Holy Trinity' matches 'Holy Trinity'
St Mary the Virgin,Fawsley,Northamptonshire,5,14358,high,,Unique tower in Fawsley; dedication 'S Mary V' matches 'St Mary the Virgin'
St Andrew,Ufford,Cambridgeshire,5,13497,high,,Unique tower in Ufford; dedication 'S Andrew' matches 'St Andrew'
St Mary V,Whiston,Northamptonshire,5,14802,high,,Unique tower in Whiston; dedication 'S Mary V' matches 'St Mary V'
"E203, EPB, UoB","Birmingham, Edgbaston",West Midlands,5,,none,,"No matching tower found for 'Birmingham, Edgbaston' in Dove register"
St Sampson,Cricklade,Wiltshire,5,11809,high,19456,Resolved dedication 'S Sampson' (Cricklade) among 2 towers in town
St Andrew,Thornhaugh,Cambridgeshire,5,16677,high,,Unique tower in Thornhaugh; dedication 'S Andrew' matches 'St Andrew'
St Rumbald,Stoke Doyle,Northamptonshire,5,14223,high,,Unique tower in Stoke Doyle; dedication 'S Rumbald' matches 'St Rumbald'
St James Apostle,Grafton Underwood,Northamptonshire,5,14619,high,,Unique tower in Grafton Underwood; dedication 'S James Ap' matches 'St James Apostle'
"St Andrew, West Tower",Rugby,Warwicks,5,14482,high,25541;23103;23104;23105;23106;16361,Resolved dedication 'S Andrew' (Rugby) among 7 towers in town
St Mary-the-Virgin,Hailsham,East Sussex,5,15312,high,,Unique tower in Hailsham; dedication 'S Mary' matches 'St Mary-the-Virgin'
St Bartholomew,West Cranmore,Somerset,5,15799,high,,Unique tower in West Cranmore; dedication 'S Bartholomew' matches 'St Bartholomew'
All Saints,Marsworth,Buckinghamshire,5,12123,high,,Unique tower in Marsworth; dedication 'All Saints' matches 'All Saints'
St Mary,Guildford,Surrey,5,11502,high,14593;14592;12695;25706;20505;25586,Resolved dedication 'S Mary' (Guildford) among 7 towers in town
St Mary the Virgin,Stoneleigh,Warwickshire,5,12286,high,,Unique tower in Stoneleigh; dedication 'S Mary V' matches 'St Mary the Virgin'
St Mary,Barking,Suffolk,5,15693,high,,Unique tower in Barking; dedication 'S Mary' matches 'St Mary'
St Guthlac,Market Deeping,Lincolnshire,5,16858,high,,Unique tower in Market Deeping; dedication 'S Guthlac' matches 'St Guthlac'
St Michael,Sutton on the Hill,Derbyshire,5,12850,high,,Unique tower in Sutton on the Hill; dedication 'S Michael' matches 'St Michael'
St Thomas,Navestock,Essex,5,11042,high,,Unique tower in Navestock; dedication 'S Thomas' matches 'St Thomas'
St Andrew,Thursby,Cumbria,5,12028,high,,Unique tower in Thursby; dedication 'S Andrew' matches 'St Andrew'
All Saints,Brailsford,Derbyshire,5,15818,high,,Unique tower in Brailsford; dedication 'All Saints' matches 'All Saints'
St Michael and All Angels,Bampton,Devon,5,12114,high,,Unique tower in Bampton; dedication 'S Michael & All Angels' matches 'St Michael and All Angels'
St Weneppa,Gwennap,Cornwall,5,11620,high,,Unique tower in Gwennap; dedication 'S Weneppa' matches 'St Weneppa'
St Bene't's,Cambridge,Cambridgeshire,5,16664,high,12645;15139;14964;17550;13803;13748;18933;18934;25479;18935,Resolved dedication 'S Bene't' (Cambridge) among 27 towers in town
Blessed Virgin Mary,Brompton Regis,Somerset,5,17155,high,,Unique tower in Brompton Regis; dedication 'Blessed Virgin Mary' matches 'Blessed Virgin Mary'
St Mary and St Helena,Elstow,Bedfordshire,5,12912,high,,Unique tower in Elstow; dedication 'S Mary & S Helena' matches 'St Mary and St Helena'
All Saints,Hastings,East Sussex,5,15800,high,13212;12891;20692;20691,Resolved dedication 'All Saints' (Hastings) among 5 towers in town
,"Handbell Stadium, Wellington",New Zealand,5,15981,high,,"Resolved via suburb/parish 'Wellington' in town name (Wellington, S Margaret of Antioch)"
St Peter,Raunds,Northamptonshire,5,11998,high,,Unique tower in Raunds; dedication 'S Peter' matches 'St Peter'
St Mary the Virgin,Whitchurch,Oxfordshire,5,12623,high,,Unique tower in Whitchurch; dedication 'S Mary V' matches 'St Mary the Virgin'
St Leonard,Naremburn,New South Wales,5,16841,high,,Unique tower in Naremburn; dedication 'S Leonard' matches 'St Leonard'
Bettyfold,Hawkshead,Lancashire,5,,none,,No matching tower found for 'Hawkshead' in Dove register
St Michael and All Angels,Great Creaton,Northamptonshire,5,10299,high,,Unique tower in Great Creaton; dedication 'S Michael & All Angels' matches 'St Michael and All Angels'
St Peter,Stutton,Suffolk,5,14237,high,,Unique tower in Stutton; dedication 'S Peter' matches 'St Peter'
St Andrew,Spratton,Northamptonshire,5,10339,high,,Unique tower in Spratton; dedication 'S Andrew' matches 'St Andrew'
St Etheldreda,Guilsborough,Northamptonshire,5,11910,high,,Unique tower in Guilsborough; dedication 'S Etheldreda' matches 'St Etheldreda'
Falconwood and Acton,Ringing Room,,5,,none,,Virtual ringing platform or dispersed locations
"Thorrington, Wickford & Great Hockham",Ringing Room,,5,,none,,Virtual ringing platform or dispersed locations
,Offley,,5,12296,high,,Unique tower in Offley (Hertfordshire); building unspecified in source
St Olave,London,,5,12986,high,15228;11081;13868;12429;13028;11914;16634;16578;10471;16020,Resolved dedication 'S Olave' (London) among 42 towers in town
St Mary,Frampton,Lincolnshire,5,12027,high,,Unique tower in Frampton; dedication 'S Mary' matches 'St Mary'
All Saints,Laughton,East Sussex,5,15991,high,,Unique tower in Laughton; dedication 'All Saints' matches 'All Saints'
Teignbridge,Ringing Room,Devon,5,,none,,Virtual ringing platform or dispersed locations
Woodlands,Keele,Staffordshire,5,15793,high,15675,Resolved dedication 'Woodlands' (Keele) among 2 towers in town
Falconwood and Bovey Tracey,Ringing Room,,5,,none,,Virtual ringing platform or dispersed locations
St Bene't,Cambridge,Cambridgeshire,5,16664,high,12645;15139;14964;17550;13803;13748;18933;18934;25479;18935,Resolved dedication 'S Bene't' (Cambridge) among 27 towers in town
St Etheldreda,Hatfield,Hertfordshire,5,16620,high,20699;20700,Resolved dedication 'S Etheldreda' (Hatfield) among 3 towers in town
St Helen,Lundy Island,Devon,5,11248,high,,Unique tower in Lundy Island; dedication 'S Helen' matches 'St Helen'
St Buriana,St Buryan,Cornwall,5,12575,high,,Unique tower in St Buryan; dedication 'S Buriana' matches 'St Buriana'
St Michael,Wood Green,Greater London,5,10450,high,25774,Resolved dedication 'S Michael' (Wood Green) among 2 towers in town
St Giles in the Fields,Holborn,Greater London,5,12506,high,20937;20935;20936;20261;11081,Resolved dedication 'S Giles in the Fields' (Holborn) among 6 towers in town
"Colchester, Norwich & Great Hockham",Ringing Room,Uk,5,,none,,Virtual ringing platform or dispersed locations
,Litlington,,5,16288,medium,21626,Partial dedication match for 'S Catherine' among 2 towers in town
Holy Trinity,Ashford in the Water,Derbyshire,5,15935,high,,Unique tower in Ashford in the Water; dedication 'Holy Trinity' matches 'Holy Trinity'
